province,year,co2_actual,log_Population,log_pGDP,Industry,Urbanization,EnergyIntensity,model,split,log_co2_pred,co2_pred,abs_pct_err,CoalShare,OilShare,GasShare,NonFossilShare,log_Energy
Jiangsu,2004,312.673,8.925720273560222,0.6903251777287328,56.58647,47.09193647663147,0.6096108724972672,structure_drivers,train,5.752291824423486,314.911555882096,0.007159415370358242,42.60882288377572,29.15131298556448,0.382436388325885,27.857427742333936,
Jiangsu,2005,392.498,8.934323331054905,0.8965230960585444,56.6,50.5,0.6114141632878445,structure_drivers,train,5.910855112878078,369.0215756318012,0.059812850939874256,44.83774982158262,26.970390360934623,1.202338918583188,26.989520898899567,
Jiangsu,2006,428.424,8.94324493313279,1.0437585193249512,56.6,51.9,0.5758659130118827,structure_drivers,train,6.003405337476016,404.804946484939,0.05513008961930461,43.94026691194273,25.307922803756284,1.615693555025237,29.13611672927574,
Jiangsu,2007,454.502,8.951958168569265,1.2146041651883028,55.6,53.2,0.5335868423981724,structure_drivers,train,6.098744100640486,445.29816906946706,0.020250363981969156,43.89743255970508,23.81059901085738,2.1114276173529394,30.18054081208461,
Jiangsu,2008,478.584,8.956995311928852,1.3841657122011306,55.0,54.3,0.48511926277145623,structure_drivers,train,6.194540306773451,490.0661131374504,0.023991844979043112,44.09549987424816,22.322106824325065,3.006888517467649,30.57550478395912,
Jiangsu,2009,494.863,8.963160242833732,1.4843159124664032,53.9,55.6,0.4682450349388953,structure_drivers,train,6.229852402080068,507.6805453730872,0.02590119967160048,42.56553359836244,22.9092807935536,3.0499936837475654,31.475191924336396,
Jiangsu,2010,542.182,8.970686268534983,1.6609651608984428,52.5,60.58,0.42867543206499953,structure_drivers,train,6.378304092381992,588.9280926319288,0.08621845179649791,41.91661132716853,20.3277400955024,3.2557056827950874,34.499942894533994,
Jiangsu,2011,614.784,8.990067695753655,1.8117557611264636,51.3,62.01,0.38513545957291623,structure_drivers,train,6.468546674719821,644.5463104972422,0.04841100369762746,41.77983944517543,19.22189461093569,3.803494516474663,35.194771427414224,
Jiangsu,2012,636.773,9.002085433155724,1.8957314597545316,50.17174,63.01,0.3629482029337999,structure_drivers,train,6.481611983992342,653.0227605261433,0.025518922011679657,38.48978238037055,20.882820201638367,4.503756199468404,36.12364121852267,
Jiangsu,2013,648.261,9.010913347279288,1.9870675225975938,49.2,64.39,0.34548516662072787,structure_drivers,train,6.556273909219888,703.6449589127627,0.08543466121325015,38.750878850973976,18.99608428108596,5.058713948014186,37.194322919925874,
Jiangsu,2014,634.204,9.0217190130337,2.0617813827832916,47.4,65.7,0.3302853707669825,structure_drivers,train,6.589846788624049,727.6693741317887,0.147374305636339,39.01080991160178,19.564239616204876,5.321801591608659,36.10314888058467,
Jiangsu,2015,645.096,9.025816391627028,2.1320953202911164,45.7018,67.49,0.3133065874735689,structure_drivers,train,6.628685551924792,756.4871537528859,0.17267376290177877,38.24452431637361,19.615415763704824,5.992528084824297,36.14753183509728,
Jiangsu,2016,664.47,9.033722518098907,2.2228681088249362,44.73481,68.93,0.29224273866533795,structure_drivers,train,6.674651334970997,792.0712381836496,0.192034611319773,36.94452042307862,19.43591973495726,6.108923104481568,37.51063673748255,
Jiangsu,2017,675.24,9.038721338315364,2.3218656704247036,45.0157,70.18,0.26823682717641234,structure_drivers,train,6.730793300826755,837.8116390613652,0.24076126867686334,35.56822418680186,18.933859969934176,6.261559292176451,39.23635655108751,
Jiangsu,2018,676.05,9.041448235493888,2.394546507880569,44.5,71.19,0.25638331020115473,structure_drivers,train,6.7632628654866105,865.461478205577,0.280173771474857,33.03244415443626,18.98475451305789,7.517272020001433,40.46552931250444,
Jiangsu,2019,691.73,9.0441677169216,2.4650661424497855,44.4,72.47,0.2505157178230343,structure_drivers,train,6.82803821668115,923.3775677545472,0.33488148230458004,35.036630792133835,17.885035685771793,7.924284859717271,39.1540486623771,
Jiangsu,2020,665.591,9.045111892608405,2.4946402963595387,43.1,73.44,0.241527150866204,structure_drivers,train,6.841530562895358,935.920524261362,0.40614960878581885,33.09791984305691,17.892111937232922,9.0989985469677,39.91096967274249,
Jiangsu,2021,710.973,9.048409504829962,2.6160707020057363,44.49426,73.94,0.22270070386716895,structure_drivers,valid,6.902519231049436,994.7776362721409,0.3991777975705701,31.20358194838742,17.341258776332246,9.618926290098525,41.83623298518179,
Jiangsu,2022,713.281,9.049584593096789,2.6693431473519476,45.5,74.42,0.21419048159439302,structure_drivers,valid,6.937988105286866,1030.6944788065014,0.44500481410061593,30.564439144595497,16.834271758402267,9.7253163589007,42.875972738101545,
Jiangsu,2023,754.837,9.050875597325156,2.7106443780785665,39.53647730433665,75.70642263672435,0.21159430080040448,structure_drivers,valid,6.998188192140612,1094.64806869677,0.45017807645461205,31.100562649875915,15.966335693335443,7.12976080103692,41.872604746909566,
Jiangxi,1990,41.957,8.245384468120747,-2.184813722614217,20.18085724809289,18.25026072437833,1.3715140091281592,structure_drivers,train,3.5715360063751342,35.5711887840181,0.15219894692141722,69.51277334902582,13.168438369017997,8.786766236209473e-06,14.681207599979931,
Jiangxi,1991,45.225,8.259716961021523,-2.0872442192021157,22.338413631504302,19.236399779217816,1.3948316775847271,structure_drivers,train,3.623120987189165,37.454279926655744,0.17182355054381995,69.01034609972557,13.92840462775602,2.0605295884454172e-05,14.729819731184753,
Jiangxi,1992,48.428,8.272059622210412,-1.9219595543510641,24.541741876865444,20.261204623270157,1.3244399321759373,structure_drivers,train,3.698711555508373,40.39522381221586,0.16587049202494708,68.48745320467371,14.684969518837615,4.698070055954237e-05,14.7995308014856,
Jiangxi,1993,55.215,8.285513309079741,-1.7020487634167718,26.766877681242192,21.324722387238225,1.1859583899651365,structure_drivers,train,3.7953289322352344,44.49286913770561,0.19418873245122506,67.943750026303,15.433756220114748,0.0001041479922289,14.890586597477492,
