province,year,CO2,GDP,Population,Energy,Industry,S,Urbanization,A,B,C,CO2_source
Hebei,2002,307.717,6018.28,6735.0,11798.50512329663,49.8,0.498,37.053587010534734,0.8935827765404603,3.936635941833436,0.026081015923991945,MEIC_1990_2022
Heilongjiang,2002,110.202,3637.2,3813.0,9138.257357532257,55.6,0.556,40.9685903961635,0.9538945712037765,4.518782214841253,0.012059410857931838,MEIC_1990_2022
Henan,2002,217.291,6035.48,9613.0,8331.688310578207,47.8,0.478,34.94958063688112,0.6278456257151773,2.8879741583397123,0.026080068276692448,MEIC_1990_2022
Hubei,2002,146.525,4212.82,5672.0,6977.075011731039,49.2,0.49200000000000005,38.85148362036401,0.7427397743300422,3.366164889981308,0.021000920837691638,MEIC_1990_2022
Hunan,2002,95.597,4151.54,6629.0,4838.048712551676,40.0,0.4,36.7761739880585,0.6262694222356313,2.9134060568799023,0.019759412457337658,MEIC_1990_2022
InnerMongolia,2002,128.123,1940.94,2384.0,6289.5234614734045,42.0,0.42,40.88543773080183,0.8141526845637584,7.715362587535402,0.020370859697848312,MEIC_1990_2022
Jiangsu,2002,221.543,10606.85,7406.0,13219.76195621502,52.2,0.522,42.67429975867721,1.432196867404807,2.3876282285040045,0.016758471198934546,MEIC_1990_2022
Jiangxi,2002,70.47,2450.48,4222.4,2151.3352139692824,38.8,0.38799999999999996,37.09237372860619,0.5803524062144753,2.262690732639634,0.03275640148611735,MEIC_1990_2022
Jilin,2002,103.179,2348.54,2699.0,8485.133184213753,43.5,0.435,40.13359244175917,0.8701519081141164,8.305608291552671,0.012159974128863452,MEIC_1990_2022
Liaoning,2002,204.199,5458.22,4203.0,16002.629063970566,47.8,0.478,43.60538894185609,1.298648584344516,6.133556998638745,0.012760340765490083,MEIC_1990_2022
Ningxia,2002,33.161,377.15519,572.0,0.0,45.9,0.45899999999999996,38.79448621846388,0.6593622202797202,0.0,inf,MEIC_1990_2022
Qinghai,2002,18.428,340.65,528.6,390.2395794312205,45.1,0.451,37.12823150485029,0.6444381384790011,2.5400740623441003,0.04722227311452893,MEIC_1990_2022
Shaanxi,2002,79.157,2253.39,3662.0,2236.2385376652396,45.5,0.455,37.74189294985315,0.6153440742763517,2.181073836704093,0.03539738657873431,MEIC_1990_2022
Shandong,2002,291.622,10275.49567,9082.0,5206.821294026127,50.3,0.503,39.084208224195514,1.1314133087425677,1.0073999075244513,0.05600768367729132,MEIC_1990_2022
Shanghai,2002,120.813,5741.03,1713.0,5103.313656372889,47.4,0.474,52.969696218504716,3.351447752481027,1.8753576461220027,0.023673442029010262,MEIC_1990_2022
Shanxi,2002,235.42,2324.8,3294.0,7398.277932539648,53.7,0.537,38.45504237793133,0.7057680631451124,5.926124345362999,0.03182091861736615,MEIC_1990_2022
Sichuan,2002,139.556,4725.0134,8110.0,4298.705266074942,40.7,0.40700000000000003,35.5136552788738,0.582615709001233,2.2353226343602612,0.03246465885934666,MEIC_1990_2022
Tianjin,2002,62.876,2150.76337,1007.0,6376.800871024515,48.8,0.488,49.68676321710121,2.1358126812313802,6.075617188719556,0.009860116580666907,MEIC_1990_2022
Tibet,2002,1.28,166.55825,268.0,0.0,20.4,0.204,28.41002489514586,0.6214860074626866,0.0,inf,MEIC_1990_2022
Xinjiang,2002,75.239,1612.65,1905.0,6664.735515927009,42.1,0.42100000000000004,36.048218792670625,0.8465354330708662,9.816591133251494,0.011289120148908849,MEIC_1990_2022
Yunnan,2002,80.463,2312.82,4333.1,1627.9463761286422,42.6,0.426,33.4687754094737,0.5337564330387021,1.6522990835859082,0.049426075195023324,MEIC_1990_2022
Zhejiang,2002,140.359,8003.66999,4776.0,10779.433468030522,51.1,0.511,43.01668656140222,1.6758102994137354,2.6356386213056253,0.013020999704323476,MEIC_1990_2022
Anhui,2003,163.38,3923.1,6163.0,5689.58557003756,44.82451,0.44824509999999995,32.0,0.6365568716534156,3.2354575360795472,0.028715624009662526,MEIC_1990_2022
Beijing,2003,81.277,5023.77,1456.0,8032.476362839835,35.81284,0.3581284,53.676180870276085,3.450391483516484,4.4645834563093665,0.01011854829427285,MEIC_1990_2022
Chongqing,2003,69.53,2272.82,2803.0,1690.9614337011087,43.42475,0.4342475,42.100966024033056,0.8108526578665716,1.713291788501511,0.04111861962919847,MEIC_1990_2022
Fujian,2003,80.765,4983.67,3502.0,1909.0662984920707,47.64237,0.4764237,42.951117821127895,1.4230925185608223,0.8040413351781619,0.042306021568656094,MEIC_1990_2022
Gansu,2003,71.204,1399.83,2537.0,4578.839169026359,46.5752,0.465752,35.19280384146872,0.5517658651951123,7.023043591635785,0.015550666308976465,MEIC_1990_2022
Guangdong,2003,258.619,15844.64,8963.0,8937.889392314417,53.62654,0.5362654,46.16539197331947,1.767783108334263,1.051896046018995,0.028935130951875884,MEIC_1990_2022
Guangxi,2003,66.203,2821.11,4857.0,2110.8021585886504,36.85236,0.36852359999999995,36.62519053082293,0.5808338480543546,2.030309301358741,0.03136390576948502,MEIC_1990_2022
Guizhou,2003,117.28,1426.34,3870.0,2922.869923102672,42.71851,0.42718510000000004,34.39627574102654,0.36856330749354005,4.797006758658144,0.040124946742585606,MEIC_1990_2022
Hainan,2003,12.645,693.2,811.0,278.2992911811125,22.52992,0.2252992,40.06757484316094,0.8547472256473491,1.7819433636834816,0.04543669495647708,MEIC_1990_2022
Hebei,2003,350.65,6921.29,6769.0,13818.991603589684,51.52017,0.5152017,38.41899975323347,1.0224981533461368,3.875359703818212,0.02537449982304885,MEIC_1990_2022
Heilongjiang,2003,121.416,4057.4,3815.0,8228.458825770014,57.16591,0.5716591,42.47826975221135,1.0635386631716908,3.5475910798151937,0.014755618587984848,MEIC_1990_2022
Henan,2003,238.613,6867.7,9667.0,9731.451924940155,50.39221,0.5039221,36.23746142262009,0.710427226647357,2.8119197401903953,0.024519773805640764,MEIC_1990_2022
Hubei,2003,164.921,4757.45,5685.0,7294.134647892062,47.77339,0.4777339,40.28314827385394,0.8368425681618293,3.2093234059327673,0.022610084398107546,MEIC_1990_2022
Hunan,2003,110.934,4659.99,6663.0,5163.431501610522,38.67891,0.3867891,38.13136415026127,0.6993831607384061,2.8647003983113577,0.021484549560771487,MEIC_1990_2022
