province,year,CO2,CO2_source,GDP_source,Population_source,GDP_is_imputed,Population_is_imputed,Industry_source,Industry_is_imputed,Urbanization_source,Urbanization_is_imputed,Energy_source,CoalShare_source,Energy_is_imputed,CoalShare_is_imputed,HighwayMileage_source,PrivateCars_source,HighwayMileage_is_imputed,PrivateCars_is_imputed
Beijing,1999,70.962,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_logit_polynomial_fit,1,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Beijing,2000,72.279,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_logit_polynomial_fit,1,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Beijing,2001,73.339,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_logit_polynomial_fit,1,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Beijing,2002,74.027,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_logit_polynomial_fit,1,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Beijing,2003,81.277,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_logit_polynomial_fit,1,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Beijing,2004,89.935,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_logit_polynomial_fit,1,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Beijing,2005,91.178,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Beijing,2006,95.929,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Beijing,2007,101.583,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
Beijing,2008,100.411,MEIC_1990_2023,Provincial_GDP_1949_2024_observed,Provincial_population_1949_2024_observed,0,0,Provincial_industry_share_1996_2024_observed,0,Provincial_urbanization_share_1990_2025_observed,0,Provincial_energy_inventory_1997_2022_total_final_consumption_tce_converted,Provincial_coal_share_from_total_final_consumption_tce_converted,0,0,Provincial_railway_mileage_1990_2024_used_as_highway_proxy,Provincial_civil_car_1990_2024_used_as_private_cars_proxy,0,0
