province,year,CO2,GDP,Population,Energy,CoalTCE,OilTCE,GasTCE,NonFossilTCE,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,HighwayMileage,PrivateCars,A,B,C,CO2_source,pGDP,CarbonIntensity,log_CO2,log_GDP,log_Population,log_Energy,log_PrivateCars,log_pGDP,log_CarbonIntensity,province_id,stirpat_log_pred,residual
Hunan,1991,79.427,833.3,6209.0,982.848426161853,,,,,71.9645536066572,23.179060910517915,0.0005841546558015,8.546312220337459,30.324952226268422,22.82616476449587,2500.0,20.3538,0.1342084071509099,1.179465290005824,0.0808130713605275,MEIC_1990_2023,0.13420840715090995,0.09531621264850595,4.374838360826898,6.725393721388161,8.733755131364893,6.890454913102076,3.0132676266430516,-2.008361409976732,-2.350555360561263,13,7.234547126486229,-0.34409221338415286
Hunan,1992,85.082,986.98,6267.0,1166.489134961938,,,,,71.52463146177284,21.936407559612743,0.0010684746040809,9.387377673702447,31.60989776858296,23.672090367308705,2500.0,22.9094,0.1574884314664113,1.1818771757907334,0.0729385276295575,MEIC_1990_2023,0.15748843146641137,0.08620438104115584,4.4436154973430035,6.894649775803657,8.743053050224676,7.061753777197737,3.131547306685528,-1.8484032744210186,-2.4510342784606536,13,7.349221334115141,-0.2874675569174041
Hunan,1993,93.873,1244.71,6311.0,1376.2467571072511,,,,,71.04851503600938,20.835414203859536,0.0019130498114671,10.264064644183325,32.85222376360492,24.547592063833843,2500.0,26.5534,0.197228648391697,1.1056766291804927,0.0682094250287737,MEIC_1990_2023,0.19722864839169704,0.07541756714415405,4.5419428049305814,7.126657850039092,8.75004942158424,7.227115331708774,3.2791577997525856,-1.6233915715451472,-2.584715045108511,13,7.498112773065403,-0.27099744135662895
Hunan,1994,97.013,1694.42,6355.0,1614.1109304926392,,,,,70.53531549595665,19.865460463702863,0.003352841660536,11.171741050170429,34.04640295319984,25.45307486462001,2500.0,32.1074,0.2666278520849724,0.9526037998209648,0.0601030562195566,MEIC_1990_2023,0.26662785208497247,0.05725439973560274,4.574844990141979,7.435095778365771,8.756997183623554,7.386539576637006,3.4690865331631215,-1.3219014052577833,-2.860250788223792,13,7.661009337410746,-0.27446976077374075
Hunan,1995,116.308,2132.13,6392.0,1881.8799168617727,,,,,69.98411131526211,19.016713270171625,0.005752053543528,12.105126088525868,35.18744915571131,26.38887504991033,2500.0,35.24,0.3335622653316646,0.8826290689881823,0.0618041560239164,MEIC_1990_2023,0.3335622653316646,0.05455014469098976,4.756241844777088,7.664876759036554,8.76280248744611,7.540026511978795,3.562181801067979,-1.0979257284095563,-2.9086349142594665,13,7.830101281613192,-0.2900747696343977
Hunan,1996,119.632,2647.16,6428.0,2181.0815088513223,,,,,69.39395585219862,18.28023627964757,0.009659474982732,13.058369237492071,38.1,27.355252008476292,2500.0,37.49,0.4118170504044803,0.8239326330298593,0.0548498529351178,MEIC_1990_2023,0.41181705040448036,0.04519258375013222,4.78442036425756,7.881242646188013,8.768418726857403,7.6875761377414165,3.6240742307478206,-0.8871760806693909,-3.0968222819304527,13,7.972689222135653,-0.28511308439423644
Hunan,1997,103.94,2993.0,6465.0,3699.785518400001,2684.9745730000004,508.26844299999993,0.0,506.5425024,72.57108715213138,13.737781297652203,0.0158782033999582,13.691131550216404,39.0,28.352379883140845,2500.0,38.12,0.462954369682908,1.2361461805546277,0.0280935204170834,MEIC_1990_2023,0.462954369682908,0.03472769796191112,4.643813809580296,8.0040315078527,8.774158291205957,8.216030128952106,3.6407390787860012,-0.7701267833532589,-3.3602176982724035,13,8.023853820069938,0.19217630888216775
Hunan,1998,108.728,3211.4,6502.0,3797.9179812,2757.949715,512.579383,0.0,527.3888832,72.61741113557673,13.496325764203156,0.0255482691417164,13.886263100220106,40.3,29.380339105924232,2800.0,41.58,0.4939095662872962,1.1826362275643023,0.0286283170248047,MEIC_1990_2023,0.4939095662872962,0.03385688484772996,4.688849350653046,8.074462258115584,8.779865100863852,8.242208295878386,3.727619282429867,-0.7054028427482664,-3.385612907462538,13,8.091647812698588,0.15056048317979887
Hunan,1999,88.806,3326.75,6532.0,2992.9896458000007,1933.0985740000008,527.743403,0.0,532.1476688,64.58754632555033,17.632650475105088,0.0402371370845437,17.779803199344563,39.00924,30.439107919510324,2800.0,42.73,0.5093003674219229,0.8996737493950555,0.0296713355238697,MEIC_1990_2023,0.5093003674219229,0.02669452168031863,4.486454215283107,8.109751130423852,8.784468454090355,8.004028048374614,3.7549012496559335,-0.6747173236665038,-3.6232969151407453,13,7.9892872116233615,0.014740836751252928
Hunan,2000,85.022,3691.88,6562.0,2858.8396582,1674.240503,598.7940080000001,0.0,585.8051472000001,58.56363781010878,20.945351247051622,0.0620281841836004,20.491010942839598,39.59663,31.528553995759687,2300.0,46.1,0.5626150563852484,0.7743587706534341,0.0297400379752434,MEIC_1990_2023,0.5626150563852484,0.023029459245695962,4.442910046530697,8.213891092385959,8.789050713521046,7.958171107573656,3.8308129500026027,-0.5751596211350876,-3.770981045855262,13,7.999266930872684,-0.04109582329902839
Hunan,2001,85.582,3831.9,6596.0,3276.7207504000007,2108.635039,550.990345,0.0,617.0953664,64.35199089646537,16.81529757861541,0.0935913780030211,18.832711524919205,39.5,32.648426275370696,2800.0,50.4344,0.5809429957550031,0.8551164566925026,0.0261181853807812,MEIC_1990_2023,0.5809429957550031,0.022334090138051616,4.449474980661847,8.251116042716841,8.794218683679489,8.094598430054077,3.9206734819355886,-0.5431026409626486,-3.801641062054994,13,8.059405937761975,0.03519249229210253
