province,year,base_year,delta_CO2,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio,delta_P,delta_A,delta_B,delta_C
Guizhou,2006,2005,24.09700000000001,-7.105427357601002e-14,2.94867716213678e-15,2.94867716213678e-15,-1.7267604214625465,26.368509914474544,-10.793530511977629,10.248781018965714
Guizhou,2007,2006,8.567000000000007,2.6645352591003757e-14,3.1102314218517257e-15,3.1102314218517257e-15,-2.800327391027696,39.83073031396762,-36.33145219388458,7.868049270944633
Guizhou,2008,2007,-11.093000000000018,-4.085620730620576e-14,3.68306204869789e-15,3.68306204869789e-15,-1.7478977568183895,38.768551626631215,-44.52655430116046,-3.587099568652343
Guizhou,2009,2008,18.305000000000007,-6.394884621840902e-14,3.493517957848074e-15,3.493517957848074e-15,-2.960845404290058,19.78891703234655,-4.0943489462737475,5.571277318217327
Guizhou,2010,2009,4.156000000000006,-2.220446049250313e-14,5.342747952960322e-15,5.342747952960322e-15,-3.14733949730263,34.04263580934292,-21.85816343541898,-4.881132876621279
Guizhou,2011,2010,15.01400000000001,7.815970093361102e-14,5.205787993446847e-15,5.205787993446847e-15,2.908470441242456,39.91288463504534,-21.963232632304592,-5.84412244398327
Guizhou,2012,2011,18.274999999999977,7.105427357601002e-15,3.888058745609308e-16,3.888058745609308e-16,3.4673903505694863,36.31453463462414,-8.317462498990647,-13.189462486203007
Guizhou,2013,2012,17.40300000000002,6.039613253960852e-14,3.4704437476072198e-15,3.4704437476072198e-15,2.9213762672659875,35.899224480196324,-45.53631143306994,24.118710685607592
Guizhou,2014,2013,-11.563000000000017,-1.0658141036401503e-13,9.217453114590926e-15,9.217453114590926e-15,2.9221069032028884,29.38770330399148,-24.90830243268267,-18.964507774511606
Guizhou,2015,2014,-7.619,-5.329070518200751e-15,6.994448770443302e-16,6.994448770443302e-16,1.9119725134065724,26.60671301377728,-21.99252414865114,-14.145161378532707
