province,province_id,year,true_energy,true_co2,target_stirpat_log,co2_per_energy,pred_residual,stirpat_energy_pred,hybrid_energy_pred,stirpat_co2_pred,hybrid_co2_pred,split
Hainan,8,2005,623.2239860000003,16.967,6.436302997072973,0.02722456192499625,0.00366709,624.0952475795847,626.3880624860464,16.99071971482627,17.05314059622979,train
Hainan,8,2006,736.1325712000003,19.498,6.600595866598912,0.02648707687015601,0.0011442788,735.5333384385349,736.3754753682038,19.48212807578395,19.504433821375287,train
Hainan,8,2007,830.9303240000005,21.459,6.7223581893635505,0.025825270037924376,0.0019937605,830.7743264847034,832.4323437889423,21.454971322042212,21.497790066651735,train
Hainan,8,2008,980.0383172000002,23.737,6.884837546355808,0.02422048157037099,0.0026137084,977.3428838983123,979.9007144364524,23.671715307392304,23.73366719480146,train
Hainan,8,2009,1027.3911354000002,25.992,6.930154888128273,0.025299030821285394,0.0026248656,1022.652364066928,1025.340215180673,25.872113677989585,25.94011370615925,train
Hainan,8,2010,1154.6040618,26.304,7.04934831606589,0.022781835670136735,0.0018970929,1152.1076880141616,1154.2954178463065,26.24712802263979,26.29696852416637,train
Hainan,8,2011,1500.5994626,33.663,7.3034336732142755,0.022433034823079373,0.001968626,1485.391530242272,1488.318590727538,33.321839923832044,33.38750277362728,train
Hainan,8,2012,1520.8831738,36.098,7.317586650604214,0.02373489339737214,0.0029780474,1506.563714296302,1511.057019699621,35.758129155171744,35.864777279921356,train
Hainan,8,2013,1527.6993703999995,41.123,7.323930573010852,0.026918254204184623,0.0026393011,1516.1516179030239,1520.158483905128,40.812154662799394,40.92001250040613,train
Hainan,8,2014,1571.5088143999994,40.884,7.350542816990375,0.0260157624477655,0.002155928,1557.0414870611903,1560.401977494732,40.50762144869947,40.595047169526474,train
Hainan,8,2015,1615.5744686000003,43.276,7.376652292016606,0.026786756563132275,0.0018857215,1598.2303933802489,1601.2470541280775,42.81140847927586,42.8922150363615,train
Hainan,8,2016,1649.5493878000007,38.588,7.397084827424253,0.023393055270363693,0.0017148256,1631.2221977881645,1634.0218592009733,38.15927103110267,38.22476366527081,train
