province,province_id,year,Population,pGDP,GDP,EnergyIntensity,Industry,Urbanization,Energy,stirpat_log_pred,pred_residual,hybrid_log_energy_pred,energy_pred,co2_pred,co2_per_energy_assumed,log_GDP,log_pGDP,log_Population,residual
Guangdong,5,2024,12760.969566193162,11.271471684811239,143834.9071360842,0.16087142344656125,35.42001130578236,76.70972452251576,22931.333477772736,10.02751888475183,0.012740643694996834,10.040259528446827,22931.333477772736,581.9487569590908,0.025377885569680098,11.876421442627596,2.422274903804139,9.454146538823458,0.012740643694996834
Guangdong,5,2025,12816.176945483086,11.898056620620121,152487.598957244,0.15282785227423318,34.42401356693883,77.5216694270189,23127.358583249348,10.035450952148892,0.01332059781998396,10.048771549968876,23127.358583249348,586.9234596546607,0.025377885569680098,11.934838553409936,2.4763750775894993,9.458463475820437,0.01332059781998396
Guangdong,5,2026,12871.623166713058,12.559473625635341,161660.8116814495,0.14518645966052152,33.428015828095305,78.33361433152206,23317.050727483387,10.04337277102152,0.013567391782999039,10.05694016280452,23317.050727483387,591.7374451844995,0.025377885569680098,11.993255664192276,2.5304752513748596,9.462780412817416,0.013567391782999039
Guangdong,5,2027,12927.30926317741,13.25765902640396,171385.85834007952,0.13792713667749543,32.43201808925178,79.1455592360252,23520.583712884225,10.051283643824362,0.014347575604915619,10.065631219429278,23520.583712884225,596.9026819976573,0.025377885569680098,12.051672774974616,2.5845754251602204,9.467097349814395,0.014347575604915619
Guangdong,5,2028,12983.23627264079,13.99465679052286,181695.93566587515,0.13103077984362066,31.43602035040825,79.95750414052836,23726.85923065178,10.059182810169977,0.015180176123976707,10.074362986293954,23726.85923065178,602.1375184833888,0.025377885569680098,12.110089885756954,2.638675598945581,9.471414286811374,0.015180176123976707
Guangdong,5,2029,13039.40523735749,14.772624510441235,192626.23741096308,0.12447924085143962,30.44002261156472,80.76944904503151,23934.452750154134,10.067069438631115,0.01600479893386364,10.08307423756498,23934.452750154134,607.4058030663267,0.025377885569680098,12.168506996539294,2.6927757727309416,9.475731223808353,0.01600479893386364
Guangdong,5,2030,13095.817204090876,15.593839719904679,204214.07448176332,0.11825527880886763,29.444024872721194,81.58139394953466,24143.274625137165,10.074942617184142,0.016818519681692123,10.091761136865834,24143.274625137165,612.7052607140921,0.025377885569680098,12.226924107321635,2.746875946516302,9.480048160805332,0.016818519681692123
Guangdong,5,2031,13152.47322413289,16.460706561532565,216499.00230086563,0.11234251486842424,28.448027133877666,82.39333885403781,24353.207285657896,10.08280134201251,0.017617493867874146,10.100418835880385,24353.207285657896,618.0329077501258,0.025377885569680098,12.285341218103973,2.8009761203016623,9.48436509780231,0.017617493867874146
Guangdong,5,2032,13209.374353323647,17.375762825048295,229522.95583062738,0.10672538912500303,27.45202939503414,83.20528375854096,24564.207205436356,10.09064450431916,0.018401166424155235,10.109045670743315,24564.207205436356,623.3876395694751,0.025377885569680098,12.343758328886313,2.8550762940870227,9.488682034799291,0.018401166424155235
Guangdong,5,2033,13266.521652071111,18.341687376767165,243330.392719401,0.10138911966875287,26.45603165619061,84.01722866304411,24776.238752262594,10.098470874705725,0.019169483333826065,10.117640358039552,24776.238752262594,628.7685519019938,0.025377885569680098,12.402175439668653,2.9091764678723835,9.49299897179627,0.019169483333826065
Guangdong,5,2034,13323.916185370854,19.361308002091985,257968.44505902362,0.09631966368531522,25.460033917347083,84.82917356754726,24989.263032048686,10.106279084557709,0.019922448322176933,10.126201532879886,24989.263032048686,634.1746576979687,0.025377885569680098,12.460592550450992,2.963276641657744,9.497315908793249,0.019922448322176933
Guangdong,5,2035,13381.559022825904,20.437609683975683,273487.0802715989,0.09150368050104946,24.464036178503555,85.64111847205041,25203.239150131383,10.11406760371793,0.020660199224948883,10.134727802942878,25203.239150131383,639.6049191373157,0.025377885569680098,12.519009661233332,3.017376815443104,9.501632845790228,0.020660199224948883
Guangxi,6,2024,5038.355574005346,5.746201885472174,28951.408299028757,0.35328340798333346,32.306329631098,58.2722177631881,10241.992756747379,9.232679955266594,0.001571529544889927,9.234251484811484,10241.992756747379,279.4046142135383,0.027280297970281985,10.273374127725697,1.7485390948984898,8.524835032827207,0.001571529544889927
Guangxi,6,2025,5049.736799305897,6.101876640221162,30812.871014949833,0.3483905417032213,32.1075955573176,59.33066131582572,10749.68440954625,9.280577963378693,0.0020537124946713448,9.282631675873365,10749.68440954625,293.25459377891644,0.027280297970281985,10.335687771765691,1.808596369803853,8.527091401961838,0.0020537124946713448
Guangxi,6,2026,5061.14373384579,6.479566725041582,32794.018528479886,0.343565440112574,31.9088614835372,60.38910486846334,11281.862547708619,9.328478229061993,0.0024734018370509148,9.330951630899044,11281.862547708619,307.7725719612558,0.027280297970281985,10.398001415805686,1.8686536447092161,8.52934777109647,0.0024734018370509148
Guangxi,6,2027,5072.5764357000535,6.880634830851702,34902.54610563537,0.33880716469133487,31.7101274097568,61.44754842110096,11842.489674347975,9.376380649645702,0.003068513236939907,9.379449162882642,11842.489674347975,323.0666470262004,0.027280297970281985,10.460315059845682,1.9287109196145795,8.531604140231101,0.003068513236939907
Guangxi,6,2028,5084.034963074903,7.306527995546772,37146.64378804538,0.3341147899176607,31.5113933359764,62.50599197373858,12431.0583261216,9.42428512727087,0.0036681964993476868,9.427953323770218,12431.0583261216,339.12297522255204,0.027280297970281985,10.522628703885676,1.9887681945199427,8.533860509365734,0.0036681964993476868
Guangxi,6,2029,5095.519374308037,7.758782824854631,39535.028205095216,0.32948740308790053,31.312659262196,63.5644355263762,13049.092800494253,9.472191568556013,0.0042823245748877525,9.476473893130901,13049.092800494253,355.98313983934463,0.027280297970281985,10.584942347925672,2.048825469425306,8.536116878500366,0.0042823245748877525
Guangxi,6,2030,5107.029727868935,8.239031036348521,42076.9764314667,0.32492410413906747,31.1139251884156,64.62287907901383,13698.053182765512,9.520099884289962,0.004909113980829716,9.525008998270792,13698.053182765512,373.6869724386127,0.027280297970281985,10.647255991965666,2.108882744330669,8.538373247634997,0.004909113980829716
Guangxi,6,2031,5118.566082359152,8.74900534661969,44782.362021586414,0.3204240054737696,30.9151911146352,65.68132263165145,14379.446942844228,9.568009989149344,0.005545181222259998,9.573555170371604,14379.446942844228,392.2755972486509,0.027280297970281985,10.70956963600566,2.1689400192360324,8.540629616769628,0.005545181222259998
Guangxi,6,2032,5130.12849651262,9.290545722850457,47661.693360948564,0.31598623178756513,30.7164570408548,66.73976618428908,15094.870020372964,9.615921801438233,0.006188429892063141,9.622110231330296,15094.870020372964,411.79255197845094,0.027280297970281985,10.771883280045657,2.228997294141396,8.54288598590426,0.006188429892063141
Guangxi,6,2033,5141.717029195947,9.865606021343183,50726.15448327832,0.311609919898709,30.5177229670744,67.79820973692671,15845.985703386148,9.663835242847979,0.006836236454546452,9.670671479302525,15845.985703386148,432.2832116212025,0.027280297970281985,10.834196924085651,2.2890545690467587,8.545142355038893,0.006836236454546452
Guangxi,6,2034,5153.331739408715,10.47626103695669,53987.648512079766,0.3072942185802572,30.318988893293998,68.85665328956433,16634.52820255478,9.711750238235187,0.007485588081181049,9.719235826316368,16634.52820255478,453.79488596075356,0.027280297970281985,10.896510568125645,2.349111843952122,8.547398724173524,0.007485588081181049
Guangxi,6,2035,5164.9726862837815,11.124713988884215,57458.84389530607,0.3030382883944963,30.120254819513598,69.91509684220196,17462.30378840176,9.759666715416301,0.008133051916956902,9.767799767333258,17462.30378840176,476.376850595184,0.027280297970281985,10.958824212165641,2.409169118857485,8.549655093308155,0.008133051916956902
Guizhou,7,2024,3869.26694950734,5.713805473637509,22108.238675059747,0.3628948322827232,32.92522373835499,59.9799607833829,8229.335310571278,9.024636866156028,-0.009176339954137802,9.01546052620189,8229.335310571278,297.5425546452702,0.036156328964145085,10.003705608763331,1.7428852594134507,8.26082034934988,-0.009176339954137802
Guizhou,7,2025,3873.538609715353,6.033618300725035,23371.45344414356,0.3495849609972104,32.29026848602598,61.1799607833829,8398.866068616335,9.043514201951869,-0.007662218064069748,9.035851983887799,8398.866068616335,303.67216450268813,0.036156328964145085,10.059270618330876,1.7973468806526371,8.261923737678238,-0.007662218064069748
Guizhou,7,2026,3877.8149858246384,6.371331674977077,24706.845448885306,0.33676325503640775,31.655313233696976,62.379960783382906,8571.630294194509,9.062389712806056,-0.006176486611366272,9.05621322619469,8571.630294194509,309.9186846759284,0.036156328964145085,10.11483562789842,1.8518085018918238,8.263027126006596,-0.006176486611366272
Guizhou,7,2027,3882.0960830415393,6.727947524901967,26118.538733330945,0.3244118099909383,31.020357981367972,63.57996078338291,8742.335506988826,9.081263061423824,-0.005330407992005348,9.075932653431819,8742.335506988826,316.0907585056141,0.036156328964145085,10.170400637465965,1.9062701231310104,8.264130514334955,-0.005330407992005348
