province,year,base_year,delta_CO2,delta_P,delta_A,delta_B,delta_C,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio
Jiangxi,2003,2002,12.807000000000002,0.5718429632274331,9.85707244711396,0.17100441171445768,2.2070801779441576,-7.105427357601002e-15,5.548081016319982e-16,5.548081016319982e-16
Jiangxi,2004,2003,13.39,0.6311037301539321,18.05315232740434,-13.05238552605896,7.7581294685006075,7.993605777301127e-14,5.969832544661036e-15,5.969832544661036e-15
Jiangxi,2005,2004,1.6850000000000023,0.6126119009851864,14.995369607450815,-4.5992032255014275,-9.32377828293456,-1.2434497875801753e-14,7.37952396190014e-15,7.37952396190014e-15
Jiangxi,2006,2005,13.936999999999998,0.6808499286137206,17.460315504323958,-1.7406201515165167,-2.463545281421164,-1.7763568394002505e-15,1.2745618421469834e-16,1.2745618421469834e-16
Jiangxi,2007,2006,14.649999999999991,0.7957914916866367,21.307156346127513,-7.973872348346128,0.5209245105319571,1.2434497875801753e-14,8.487711860615536e-16,8.487711860615536e-16
Jiangxi,2008,2007,7.173000000000002,0.9525052813824338,23.040503725865626,-14.405422311327523,-2.4145866959205438,1.0658141036401503e-14,1.4858693763281055e-15,1.4858693763281055e-15
Jiangxi,2009,2008,4.990000000000009,0.9898000488163656,11.797472150250247,-2.4336475722917164,-5.363624626774844,-4.1744385725905886e-14,8.365608361904971e-15,8.365608361904971e-15
Jiangxi,2010,2009,17.188999999999993,0.9952565995621759,30.098905937212336,-16.29001127742231,2.38484874064783,-3.907985046680551e-14,2.2735383365411326e-15,2.2735383365411326e-15
Jiangxi,2011,2010,16.408999999999992,0.4414300007389322,34.67909346554359,-26.06131490217854,7.349791435896048,-3.552713678800501e-14,2.1651006635386086e-15,2.1651006635386086e-15
Jiangxi,2012,2011,-3.7949999999999875,0.03817085123103873,17.242822807107448,-4.206811849493517,-16.869181808845102,1.438849039914203e-13,3.7914335702614163e-14,3.7914335702614163e-14
Jiangxi,2013,2012,11.483000000000004,0.039008728712456184,18.62856540509989,4.87897407954893,-12.063548213361194,-7.815970093361102e-14,6.8065576011156485e-15,6.8065576011156485e-15
Jiangxi,2014,2013,4.296999999999997,0.16304428974136811,15.654204972422896,-5.638932666658445,-5.881316595505991,1.687538997430238e-13,3.927249237678006e-14,3.927249237678006e-14
