level,scenario,province,province_id,year,energy_pred,co2_pred
province,baseline,Ningxia,19,2029,10274.787161219958,15222.713142004943
province,baseline,Ningxia,19,2030,10559.891639000218,15247.638196257289
province,baseline,Ningxia,19,2031,10642.329871494216,14957.474821152242
province,baseline,Ningxia,19,2032,10753.66777393171,14700.478371299114
province,baseline,Ningxia,19,2033,10886.093605536009,14462.936825725053
province,baseline,Ningxia,19,2034,11034.230970982739,14235.481496939281
province,baseline,Ningxia,19,2035,11194.216512407556,14011.464410572247
province,baseline,Qinghai,20,2024,4879.254444078999,6253.4845106700905
province,baseline,Qinghai,20,2025,5067.3478839968,6460.450756106544
province,baseline,Qinghai,20,2026,5263.055796811778,6679.857529934778
province,baseline,Qinghai,20,2027,5467.037787153914,6907.479516454106
province,baseline,Qinghai,20,2028,5650.834779971183,7107.380115943027
province,baseline,Qinghai,20,2029,5809.190739430639,7087.895580322348
province,baseline,Qinghai,20,2030,5971.323655798253,7060.956174829877
province,baseline,Qinghai,20,2031,6025.8857526326365,6893.779322302425
province,baseline,Qinghai,20,2032,6094.805794208199,6738.280465917788
province,baseline,Qinghai,20,2033,6174.238119312171,6588.699605716764
province,baseline,Qinghai,20,2034,6261.479285679376,6441.043179424793
province,baseline,Qinghai,20,2035,6354.7061590652365,6292.605119443369
province,baseline,Shaanxi,21,2024,15733.608733540885,22139.482440504868
province,baseline,Shaanxi,21,2025,16348.346690314718,22894.48404002314
province,baseline,Shaanxi,21,2026,16989.375794007814,23695.012135980356
province,baseline,Shaanxi,21,2027,17657.82010674177,24526.28592262999
province,baseline,Shaanxi,21,2028,18261.710884036067,25260.61864996339
province,baseline,Shaanxi,21,2029,18783.775032453654,25275.745651937148
province,baseline,Shaanxi,21,2030,19318.497559849024,25268.128518986512
province,baseline,Shaanxi,21,2031,19582.49052480135,24860.478184484833
province,baseline,Shaanxi,21,2032,19870.258173684644,24461.795230517764
province,baseline,Shaanxi,21,2033,20176.51294318877,24063.031162537598
province,baseline,Shaanxi,21,2034,20497.442074029834,23657.652896443575
province,baseline,Shaanxi,21,2035,20830.377993804817,23240.991465133822
province,baseline,Shandong,22,2024,45070.294317714804,52181.09907848088
province,baseline,Shandong,22,2025,46820.37164870979,53892.187510459684
province,baseline,Shandong,22,2026,48646.05223786181,55715.36608673716
province,baseline,Shandong,22,2027,50547.6446570205,57604.16810706338
province,baseline,Shandong,22,2028,52261.60760945968,59258.4663421814
province,baseline,Shandong,22,2029,53739.0884600191,58911.015151380896
province,baseline,Shandong,22,2030,55250.43030355828,58488.18449772166
province,baseline,Shandong,22,2031,55836.79069220302,56961.9818412055
province,baseline,Shandong,22,2032,56527.756200708645,55493.37906649901
province,baseline,Shandong,22,2033,57298.31967244973,54046.72193679252
province,baseline,Shandong,22,2034,58130.24203209863,52596.32608559832
province,baseline,Shandong,22,2035,59009.06393843527,51122.58689426113
province,baseline,Shanghai,23,2024,12368.922464390022,17902.081524282494
province,baseline,Shanghai,23,2025,12852.197467063073,18515.05124704774
province,baseline,Shanghai,23,2026,13355.317274028053,19163.460099357002
province,baseline,Shanghai,23,2027,13879.521635305986,19836.246750756065
province,baseline,Shanghai,23,2028,14352.517896766329,20430.144147095438
province,baseline,Shanghai,23,2029,14760.745103255145,20455.642213072788
province,baseline,Shanghai,23,2030,15178.43144087144,20463.161486389232
province,baseline,Shanghai,23,2031,15361.85442128594,20119.78421493809
province,baseline,Shanghai,23,2032,15567.075064264052,19790.01251058517
province,baseline,Shanghai,23,2033,15788.661853065647,19464.635910600507
province,baseline,Shanghai,23,2034,16022.584059357498,19136.952384306842
province,baseline,Shanghai,23,2035,16266.044916966832,18802.30619310282
province,baseline,Shanxi,24,2024,20357.142018016126,33985.96035090009
province,baseline,Shanxi,24,2025,21159.91688585113,35183.775385169785
province,baseline,Shanxi,24,2026,21997.977245898124,36451.43671363247
province,baseline,Shanxi,24,2027,22871.21390492321,37767.59781128678
province,baseline,Shanxi,24,2028,23660.296098304545,38935.284842944064
province,baseline,Shanxi,24,2029,24342.774311445584,39142.10612659694
province,baseline,Shanxi,24,2030,25040.945455320485,39322.19330807886
province,baseline,Shanxi,24,2031,25418.38392760301,38937.55405787917
province,baseline,Shanxi,24,2032,25809.579395953573,38544.434705005835
province,baseline,Shanxi,24,2033,26212.576440210487,38138.40331042344
province,baseline,Shanxi,24,2034,26625.930258747616,37716.05197796147
province,baseline,Shanxi,24,2035,27048.395239641806,37274.46951846496
province,baseline,Sichuan,25,2024,23164.935688106438,34113.60730118513
province,baseline,Sichuan,25,2025,24068.68230627578,35282.518348964746
province,baseline,Sichuan,25,2026,25008.63602264159,36517.3563575809
province,baseline,Sichuan,25,2027,25986.569994354137,37796.6824317891
province,baseline,Sichuan,25,2028,26866.86928062219,38923.372705956506
province,baseline,Sichuan,25,2029,27624.34725898745,38980.98837887636
province,baseline,Sichuan,25,2030,28398.112502624896,39003.95117729375
province,baseline,Sichuan,25,2031,28666.127099386664,38269.84855699466
province,baseline,Sichuan,25,2032,28987.318468570764,37584.08301378184
province,baseline,Sichuan,25,2033,29349.13586016041,36924.730259290634
province,baseline,Sichuan,25,2034,29742.46220265067,36275.98426464726
province,baseline,Sichuan,25,2035,30159.49972313053,35624.99958825606
province,baseline,Tianjin,26,2024,9838.452155520534,14234.15147704429
province,baseline,Tianjin,26,2025,10216.858262750216,14712.865319072987
province,baseline,Tianjin,26,2026,10610.850580614384,15219.542921284874
